Designator,Mid X,Mid Y,Layer,Rotation
J7,54mm,-117.175mm,Top,0
J8,10.5mm,-102mm,Top,90
J9,15.5mm,-108.5mm,Top,0
J10,85.68mm,-104.8mm,Top,0
L1,66mm,-53.5mm,Top,0
L2,86.5mm,-57.5mm,Top,0
Q1,26mm,-54mm,Top,0
Q2,30.95mm,-16.27mm,Top,90
Q3,69.05mm,-16.27mm,Top,90
Q4,13.4mm,-25.3mm,Top,135
Q5,86.6mm,-25.3mm,Top,45
Q6,15mm,-37.87mm,Top,90
Q7,85mm,-35.33mm,Top,-90
Q16,40mm,-37.5mm,Top,0
Q17,50mm,-37.5mm,Top,0
Q18,40mm,-42mm,Top,0
Q19,50mm,-42mm,Top,0
Q20,23.5mm,-38.5mm,Top,0
Q21,26.1875mm,-33.5mm,Top,0
Q22,35.7125mm,-33.5mm,Top,0
Q23,45.2375mm,-33.5mm,Top,0
Q24,54.7625mm,-33.5mm,Top,0
Q25,64.2875mm,-33.5mm,Top,0
Q26,73.8125mm,-33.5mm,Top,0
Q27,76.5mm,-38.5mm,Top,0
Q28,25mm,-43mm,Top,0
Q29,75mm,-43mm,Top,0
Q30,30mm,-43mm,Top,0
Q31,70mm,-43mm,Top,0
Q32,35mm,-43mm,Top,0
Q33,65mm,-43mm,Top,0
Q34,59.5mm,-102.3mm,Top,180
R6,22mm,-66mm,Top,0
R7,28mm,-66mm,Top,0
R8,40mm,-47mm,Top,0
R9,44mm,-47mm,Top,0
R11,34mm,-60mm,Top,0
R41,23.6mm,-28mm,Top,90
R42,26.1875mm,-30mm,Top,0
R43,35.7125mm,-30mm,Top,0
R44,45.2375mm,-30mm,Top,0
R45,54.7625mm,-30mm,Top,0
R46,64.2875mm,-30mm,Top,0
R47,73.8125mm,-30mm,Top,0
R48,76.4mm,-28mm,Top,90
R49,27mm,-38mm,Top,0
R50,73mm,-38mm,Top,0
R51,31mm,-38mm,Top,0
R52,69mm,-38mm,Top,0
R53,35mm,-38mm,Top,0
R54,65mm,-38mm,Top,0
R55,57mm,-68mm,Top,0
R57,74.5mm,-96.5mm,Top,-90
R58,74.5mm,-100mm,Top,-90
R61,54mm,-42mm,Top,0
R62,44mm,-37.5mm,Top,0
R63,54mm,-37.5mm,Top,0
R64,44mm,-42mm,Top,0
R65,40mm,-66mm,Top,0
R77,56mm,-61mm,Top,0
R78,56mm,-64mm,Top,0
R79,56mm,-55mm,Top,0
R80,56mm,-58mm,Top,0
R81,58.5mm,-96.5mm,Top,-90
SW1,71mm,-113.7mm,Top,0
SW2,64mm,-102mm,Top,0
SW3,81mm,-113.7mm,Top,0
SW4,91mm,-113.7mm,Top,0
SW5,6mm,-116.4mm,Top,0
SW6,15.5mm,-116.4mm,Top,0
U1,61mm,-54mm,Top,0
U2,64mm,-66mm,Top,0
U3,35.25mm,-106.7mm,Top,180
U4,8mm,-56mm,Top,0
U7,81mm,-54mm,Top,0
U8,50mm,-59mm,Top,0
